[SpecialEvents.Burst].Name;Выброс!
[StoryEvents.Event-Yantar-30].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Yantar-30].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok-SetFlag1-4].Name;Технический ивент
[StoryEvents.Event-Rostok-SetFlag1-4].Desc-Owner;Если вы это видите, то это баг ивента Event-Rostok-SetFlag1-4
[StoryEvents.Event-Rostok-SetFlag1-4].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Rostok-SetFlag1-4
[StoryEvents.Event-Yantar-31].Name;Меченый продолжает идти
[StoryEvents.Event-Yantar-31].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Yantar-31].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Yantar-32].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Yantar-32].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Yantar-32].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Yantar-33].Name;Меченый продолжает идти
[StoryEvents.Event-Yantar-33].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Yantar-33].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Yantar-34].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Yantar-34].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Yantar-34].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Yantar-35].Name;Меченый продолжает идти
[StoryEvents.Event-Yantar-35].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Yantar-35].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Yantar-36].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Yantar-36].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Yantar-36].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Yantar-37].Name;Меченый продолжает идти
[StoryEvents.Event-Yantar-37].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Yantar-37].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Yantar-38].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Yantar-38].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Yantar-38].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-Invasion-1].Name;Появление группы Бандитов
[StoryEvents.Event-WildTerritory2-Invasion-1].Desc-Owner;Территорию %0:s локации %1:s штурмует отряд Бандитов!
[StoryEvents.Event-WildTerritory2-Invasion-1].Desc-NonOwner;К нам поступила информация, что территорию %0:s локации %1:s штурмует отряд Бандитов!
[StoryEvents.Event-WildTerritory2-Invasion-2].Name;Группа Бандитов
[StoryEvents.Event-WildTerritory2-Invasion-2].Desc-Owner;Территорию %0:s локации %1:s штурмует отряд Бандитов!
[StoryEvents.Event-WildTerritory2-Invasion-2].Desc-NonOwner;К нам поступила информация, что территорию %0:s локации %1:s штурмует отряд Бандитов!
[StoryEvents.Event-WildTerritory2-1].Name;Меченый продолжает идти
[StoryEvents.Event-WildTerritory2-1].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-WildTerritory2-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-2].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-WildTerritory2-2].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-WildTerritory2-2].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Yantar-Invasion-1].Name;Группа сталкеров
[StoryEvents.Event-Yantar-Invasion-1].Desc-Owner;Территорию %0:s локации %1:s штурмует отряд Одиночек!
[StoryEvents.Event-Yantar-Invasion-1].Desc-NonOwner;К нам поступила информация, что территорию %0:s локации %1:s штурмует отряд Одиночек!
[StoryEvents.Event-Rostok-SetFlag1-5].Name;Технический ивент
[StoryEvents.Event-Rostok-SetFlag1-5].Desc-Owner;Если вы это видите, то это баг ивента Event-Rostok-SetFlag1-5
[StoryEvents.Event-Rostok-SetFlag1-5].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Rostok-SetFlag1-5
[StoryEvents.Event-WildTerritory2-3].Name;Меченый продолжает идти
[StoryEvents.Event-WildTerritory2-3].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-WildTerritory2-3].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-4].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-WildTerritory2-4].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-WildTerritory2-4].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Yantar-SetFlag2-1].Name;Технический ивент
[StoryEvents.Event-Yantar-SetFlag2-1].Desc-Owner;Если вы это видите, то это баг ивента Event-Yantar-SetFlag2-1
[StoryEvents.Event-Yantar-SetFlag2-1].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Yantar-SetFlag2-1
[StoryEvents.Event-Yantar-Invasion-2].Name;Отряд Долга
[StoryEvents.Event-Yantar-Invasion-2].Desc-Owner;Территорию %0:s локации %1:s штурмует отряд Долга!
[StoryEvents.Event-Yantar-Invasion-2].Desc-NonOwner;К нам поступила информация, что территорию %0:s локации %1:s штурмует отряд Долга!
[StoryEvents.Event-Yantar-SetFlag2-2].Name;Технический ивент
[StoryEvents.Event-Yantar-SetFlag2-2].Desc-Owner;Если вы это видите, то это баг ивента Event-Yantar-SetFlag2-2
[StoryEvents.Event-Yantar-SetFlag2-2].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Yantar-SetFlag2-2
[StoryEvents.Event-WildTerritory2-5].Name;Меченый продолжает идти
[StoryEvents.Event-WildTerritory2-5].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-WildTerritory2-5].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-6].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-WildTerritory2-6].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-WildTerritory2-6].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-7].Name;Меченый продолжает идти
[StoryEvents.Event-WildTerritory2-7].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-WildTerritory2-7].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-8].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-WildTerritory2-8].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-WildTerritory2-8].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-9].Name;Меченый продолжает идти
[StoryEvents.Event-WildTerritory2-9].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-WildTerritory2-9].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-10].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-WildTerritory2-10].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-WildTerritory2-10].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-11].Name;Меченый продолжает идти
[StoryEvents.Event-WildTerritory2-11].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-WildTerritory2-11].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-12].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-WildTerritory2-12].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-WildTerritory2-12].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-13].Name;Меченый продолжает идти
[StoryEvents.Event-WildTerritory2-13].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-WildTerritory2-13].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-14].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-WildTerritory2-14].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-WildTerritory2-14].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-15].Name;Меченый продолжает идти
[StoryEvents.Event-WildTerritory2-15].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-WildTerritory2-15].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory2-16].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-WildTerritory2-16].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-WildTerritory2-16].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok3-1].Name;Меченый продолжает идти
[StoryEvents.Event-Rostok3-1].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Rostok3-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok3-2].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Rostok3-2].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Rostok3-2].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok3-3].Name;Меченый продолжает идти
[StoryEvents.Event-Rostok3-3].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Rostok3-3].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok3-4].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Rostok3-4].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Rostok3-4].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok3-5].Name;Меченый продолжает идти
[StoryEvents.Event-Rostok3-5].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Rostok3-5].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok3-6].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Rostok3-6].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Rostok3-6].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok3-7].Name;Меченый продолжает идти
[StoryEvents.Event-Rostok3-7].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Rostok3-7].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok3-8].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Rostok3-8].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Rostok3-8].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok3-9].Name;Меченый продолжает идти
[StoryEvents.Event-Rostok3-9].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Rostok3-9].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok3-10].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Rostok3-10].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Rostok3-10].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok3-11].Name;Меченый продолжает идти
[StoryEvents.Event-Rostok3-11].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Rostok3-11].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok3-12].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Rostok3-12].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Rostok3-12].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Agroprom-Advisor-2].Name;Доктор
[StoryEvents.Event-Agroprom-Advisor-2].Desc-Owner;Доктор теперь доступен как кандидат в заместители!
[StoryEvents.Event-Agroprom-Advisor-2].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Agroprom-Advisor-2
[StoryEvents.Event-ArmyStocks-1].Name;Меченый продолжает идти
[StoryEvents.Event-ArmyStocks-1].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-ArmyStocks-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-2].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-ArmyStocks-2].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-ArmyStocks-2].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-3].Name;Меченый продолжает идти
[StoryEvents.Event-ArmyStocks-3].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-ArmyStocks-3].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-4].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-ArmyStocks-4].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-ArmyStocks-4].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-5].Name;Меченый продолжает идти
[StoryEvents.Event-ArmyStocks-5].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-ArmyStocks-5].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-6].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-ArmyStocks-6].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-ArmyStocks-6].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-7].Name;Меченый продолжает идти
[StoryEvents.Event-ArmyStocks-7].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-ArmyStocks-7].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-8].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-ArmyStocks-8].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-ArmyStocks-8].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-9].Name;Меченый продолжает идти
[StoryEvents.Event-ArmyStocks-9].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-ArmyStocks-9].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-10].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-ArmyStocks-10].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-ArmyStocks-10].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-11].Name;Меченый продолжает идти
[StoryEvents.Event-ArmyStocks-11].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-ArmyStocks-11].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-12].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-ArmyStocks-12].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-ArmyStocks-12].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-13].Name;Меченый продолжает идти
[StoryEvents.Event-ArmyStocks-13].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-ArmyStocks-13].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-ArmyStocks-14].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-ArmyStocks-14].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-ArmyStocks-14].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-1].Name;Меченый продолжает идти
[StoryEvents.Event-Radar-1].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Radar-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-2].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Radar-2].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Radar-2].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-3].Name;Меченый продолжает идти
[StoryEvents.Event-Radar-3].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Radar-3].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-4].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Radar-4].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Radar-4].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-5].Name;Меченый продолжает идти
[StoryEvents.Event-Radar-5].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Radar-5].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-6].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Radar-6].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Radar-6].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-7].Name;Меченый продолжает идти
[StoryEvents.Event-Radar-7].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Radar-7].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-8].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Radar-8].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Radar-8].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-9].Name;Меченый продолжает идти
[StoryEvents.Event-Radar-9].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Radar-9].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-10].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Radar-10].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Radar-10].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-11].Name;Меченый продолжает идти
[StoryEvents.Event-Radar-11].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Radar-11].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-12].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Radar-12].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Radar-12].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-13].Name;Меченый продолжает идти
[StoryEvents.Event-Radar-13].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Radar-13].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-14].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Radar-14].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Radar-14].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-15].Name;Меченый продолжает идти
[StoryEvents.Event-Radar-15].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Radar-15].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-16].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Radar-16].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Radar-16].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-17].Name;Меченый продолжает идти
[StoryEvents.Event-Radar-17].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Radar-17].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-18].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Radar-18].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Radar-18].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Radar-BrainMixerDisable-1].Name;Пси установка серьезно повреждена!
[StoryEvents.Event-Radar-BrainMixerDisable-1].Desc-Owner;Меченый вывел из строя пси установку на территории %0:s локации %1:s!
[StoryEvents.Event-Radar-BrainMixerDisable-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый вывел из строя пси установку на территории %0:s локации %1:s!
[StoryEvents.Event-Radar-SetFlag1-1].Name;Технический ивент
[StoryEvents.Event-Radar-SetFlag1-1].Desc-Owner;Если вы это видите, то это баг ивента Event-Radar-SetFlag1-1
