[Common_Strings].StoryEventsLevelText;Доп. замы (рекомендуется):
[Groups.Mercenaries.AntiZone].Text-End-Standart-Victory;Победа! Вскоре верхушка группировки договорилась с правительством. Часть территорий была передана под контроль Военных. Множество наёмников решили покинуть Зону, так как всё скатилось к контрактам на поиск артефактов и охоте на мутантов. Похоже на территории отчуждения не стоит ожидать новых крупных войн?
[Groups.Mercenaries.Control].Text-End-Standart-Victory;Победа! Вскоре верхушка группировки договорилась с правительством. Часть территорий была передана под контроль Военных. Множество наёмников решили покинуть Зону, так как всё скатилось к контрактам на поиск артефактов и охоте на мутантов. Похоже на территории отчуждения не стоит ожидать новых крупных войн?
[Groups.Mercenaries.Crime].Text-End-Standart-Victory;Победа! Вскоре Зона стала крупной базой для наёмников со всего мира. Криминального элемента становилось всё больше. Численность мутантов плохо контролировалась. По всей территории отчуждения постоянно вспыхивают мелкие столкновения. Вряд ли это хорошо закончится?
[Groups.Mercenaries.Exploring].Text-End-Standart-Victory;Победа! Вскоре верхушка группировки договорилась с правительством. Часть территорий была передана под контроль Военных. Множество наёмников решили покинуть Зону, так как всё скатилось к контрактам на поиск артефактов и охоте на мутантов. Похоже на территории отчуждения не стоит ожидать новых крупных войн?
[Groups.Mercenaries.Growth].Text-End-Standart-Victory;"Победа! Вскоре Зона стала крупной базой для наёмников со всего мира. В ней тренировались бойцы для отправки в любые горячие точки планеты. Численность мутантов строго контролировалась. Для богатых клиентов даже организовывали ""Сафари""..."
[Groups.Mercenaries.Growth].Text-End-Standart-Lose;Ваша группировка полностью уничтожена. Последние наёмники разошлись кто куда по другим группировкам, где им предложили хорошую оплату. Поражение!
[Groups.Mercenaries.Mercenary].Text-End-Standart-Victory;"Победа! Вскоре Зона стала крупной базой для наёмников со всего мира. В ней тренировались бойцы для отправки в любые горячие точки планеты. Численность мутантов строго контролировалась. Для богатых клиентов даже организовывали ""Сафари""..."
[Groups.Mercenaries.Mercenary].Text-End-Standart-Lose;Ваша группировка полностью уничтожена. Последние наёмники разошлись кто куда по другим группировкам, где им предложили хорошую оплату. Поражение!
[Groups.Mercenaries.Sectarianism].Text-End-Standart-Victory;Победа! Вскоре Зона стала крупной базой для наёмников со всего мира. В ней тренировались бойцы для отправки в любые горячие точки планеты. Отличные бойцы, способные выполнять любые грязные приказы без лишних вопросов, у которых абсолютно отсутствует страх ? клиенты таких очень любили, хотя и озадачивались их религиозными взглядами. Правительство долго тянуло с решением этой проблемы, так как все прогнозы по штурмам говорили о высоких потерях. Было решено организовать множественное внедрение для попытки контроля группировки. Посмотрим, чем это закончится?
[Groups.Mercenaries.Stability].Text-End-Standart-Victory;"Победа! Вскоре Зона стала крупной базой для наёмников со всего мира. В ней тренировались бойцы для отправки в любые горячие точки планеты. Численность мутантов строго контролировалась. Для богатых клиентов даже организовывали ""Сафари""..."
[Groups.Mercenaries.Stalkers].Text-End-Standart-Victory;"Победа! Вскоре Зона стала крупной базой для наёмников со всего мира. В ней тренировались бойцы для отправки в любые горячие точки планеты. Численность мутантов строго контролировалась. Для богатых клиентов даже организовывали ""Сафари""..."
[Groups.Mercenaries.Unknow].Text-End-Standart-Victory;"Победа! Вскоре Зона стала крупной базой для наёмников со всего мира. В ней тренировались бойцы для отправки в любые горячие точки планеты. Численность мутантов строго контролировалась. Для богатых клиентов даже организовывали ""Сафари""..."
[Groups.Mercenaries.Zombie].Text-End-Standart-Victory;Победа! Теперь О-Сознание в безопасности. Вскоре пси-излучение покрыло всю Зону благодаря увеличению числа излучателей. Даже Кордон стал опасен. Правительство хоть и не выпускало мутантов из Зоны, но больше не пыталось вернуть ее...
[Groups.monolith.:main].Spy1-Name;Новичок
[Groups.monolith.:main].Spy2-Name;Опытный
[Groups.monolith.:main].Spy3-Name;Ветеран
[Groups.monolith.:main].Spy4-Name;Мастер
[Groups.monolith.:main].Name;Монолит
[Groups.monolith.:main].Description;Монолит ? осколок некогда мощнейшей группировки. Главная цель ? защита Зоны от какого-либо внешнего вмешательства. Монолит враждебен к любым другим группировкам. После уничтожения О-Сознания имеет массу внутренних проблем.
[Groups.monolith.:main].DiplomacyText-Question-War;Найти и искоренить!
[Groups.monolith.:main].DiplomacyText-Question-Neutral;Монолит повелел нам заключить с вами мир. Вы согласны или как?
[Groups.monolith.:main].DiplomacyText-Question-Alliance;Монолит велел нам стать вашими друзьями.
[Groups.monolith.:main].DiplomacyText-Question-BreakAlliance;Монолит недоволен нашим союзом!
[Groups.monolith.:main].DiplomacyText-RequestMoney-Ask;По воле Великого Монолита мы отправяем вам запрос на денежный перевод для наших братьев в таком вот размере:
[Groups.monolith.:main].DiplomacyText-Ans-0-Down;Обнаружить и искоренить! *Собеседник добавил вас в черный список*
[Groups.monolith.:main].DiplomacyText-Ans-1-Down;Такое Монолит точно не одобрит! *Собеседник удалил вас из друзей*
[Groups.monolith.:main].DiplomacyText-Ans-1-No;Ты познаешь гнев Монолита! *Собеседник вышел из чата*
[Groups.monolith.:main].DiplomacyText-Ans-1-Yes;И придет день, и Монолит вновь воссияет во славе своей! *Собеседник вышел из чата*
[Groups.monolith.:main].DiplomacyText-Ans-2-No;Монолит точно не даст согласия своего. *Собеседник вышел из чата*
[Groups.monolith.:main].DiplomacyText-Ans-2-Yes;Никому не верь кроме Монолита и братьев его, никому. *Собеседник добавил вас в друзья*
[Groups.monolith.:main].DiplomacyText-RequestMoney-Ans-No;Монолит сказал не проявлять милосердие к неверным! *Собеседник исключил вас из чата*
[Groups.monolith.:main].DiplomacyText-RequestMoney-Ans-Yes;Монолит велел проявить жалость к слепцам и сделать вам денежный перевод.
[Groups.monolith.:main].DiplomacyText-Question-Neutral-No;Тогда мы вас найдем и уничтожим!
[Groups.monolith.:main].DiplomacyText-Question-Neutral-Yes;Иначе и не могло быть. Всё по воле Великого Монолита!
[Groups.monolith.:main].DiplomacyText-Question-Alliance-No;Зря вы не следуете воле Монолита.
[Groups.monolith.:main].DiplomacyText-Question-Alliance-Yes;Да возрадуются братья наши и ужаснутся наши враги!
[Groups.monolith.:main].Text-End-Step-Victory;Вы выжили! Победа!
[Groups.monolith.:main].Text-End-EventFlag-Victory;Победа по ивент флагу!
[Groups.monolith.:main].Text-End-Standart-Lose;Группировка была полностью уничтожена, теперь Зону буду делить другие группировки. Поражение!
[Groups.monolith.:main].Text-End-Step-Lose;Время истекло, Вы не смогли добиться контроля над Зоной. Поражение!
[Groups.monolith.:main].Text-End-EventFlag-Lose;Поражение по ивент флагу!
[Groups.monolith.Anarchy].Text-End-Standart-Victory;Победа! Монолит надежно контролирует Зону. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере? Грядет новая ?Война в Зоне??
[Groups.monolith.AntiZone].Text-End-Standart-Victory;Победа! Монолит надежно контролирует Зону. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере? Грядет новая ?Война в Зоне??
[Groups.monolith.Control].Text-End-Standart-Victory;Победа! Монолит надежно контролирует Зону. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере? Грядет новая ?Война в Зоне??
[Groups.monolith.Crime].Text-End-Standart-Victory;Победа! Монолит надежно контролирует Зону. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере? Грядет новая ?Война в Зоне??
[Groups.monolith.Exploring].Text-End-Standart-Victory;Победа! Монолит надежно контролирует Зону. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере? Грядет новая ?Война в Зоне??
[Groups.monolith.Growth].Text-End-Standart-Victory;Победа! Монолит надежно контролирует Зону. Теперь правительство больше не вмешивается. Монолитовцы расстреливают всех, кто пытается проникнуть в Зону. Вскоре она стала полностью закрыта для посторонних глаз...
[Groups.monolith.Mercenary].Text-End-Standart-Victory;Победа! Монолит надежно контролирует Зону. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере? Грядет новая ?Война в Зоне??
[Groups.monolith.Sectarianism].Text-End-Standart-Victory;Победа! Монолит надежно контролирует Зону. Теперь правительство больше не вмешивается. Монолитовцы расстреливают всех, кто пытается проникнуть в Зону. Вскоре она стала полностью закрыта для посторонних глаз...
[Groups.monolith.Stability].Text-End-Standart-Victory;Победа! Монолит надежно контролирует Зону. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере? Грядет новая ?Война в Зоне??
[Groups.monolith.Stalkers].Text-End-Standart-Victory;Победа! Монолит надежно контролирует Зону. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере? Грядет новая ?Война в Зоне??
[Groups.monolith.Unknow].Text-End-Standart-Victory;Победа! Монолит надежно контролирует Зону. Теперь правительство больше не вмешивается. Монолитовцы расстреливают всех, кто пытается проникнуть в Зону. Вскоре она стала полностью закрыта для посторонних глаз...
[Groups.monolith.Zombie].Text-End-Standart-Victory;Победа! Теперь Монолит в безопасности. Вскоре пси-излучение покрыло всю Зону благодаря увеличению числа излучателей. Даже Кордон стал опасен. Правительство хоть и не выпускало мутантов из Зоны, но больше не пыталось вернуть ее...
[Groups.Noon.:main].Spy1-Name;Новичок
[Groups.Noon.:main].Spy2-Name;Опытный
[Groups.Noon.:main].Spy3-Name;Ветеран
[Groups.Noon.:main].Spy4-Name;Мастер
[Groups.Noon.:main].Name;Группа Бродяги
[Groups.Noon.:main].Description;Группа Бродяги ? группа из нескольких бывших монолитовцев, которые вышли из под влияния Монолита. Лидер группы Бродяга. Отряд имеет туманное настоящее и будущее. Многие группировки относятся враждебно к отряду, так как думают, что это монолитовцы, несмотря на то, что отряд ведёт себя достаточно мирно.
[Groups.Noon.:main].DiplomacyText-Question-War;Мы объявляем вам войну!
[Groups.Noon.:main].DiplomacyText-Question-Neutral;Пора закончить эту бойню, мы готовы к миру, а Вы?
[Groups.Noon.:main].DiplomacyText-Question-Alliance;Мы хотим заключить с вами союз. Вы согласны?
[Groups.Noon.:main].DiplomacyText-Question-BreakAlliance;Мы расторгаем союз!
[Groups.Noon.:main].DiplomacyText-RequestMoney-Ask;У нас тут финансовые затруднения возникли. Нам бы помощь не помешала. Нас интересует сумма в таком вот размере:
[Groups.Noon.:main].DiplomacyText-Ans-0-Down;Ну ты и крыса! Война, так война!
[Groups.Noon.:main].DiplomacyText-Ans-1-Down;Да будет так.
[Groups.Noon.:main].DiplomacyText-Ans-1-No;На данный момент мы не видим в этом необходимости.
[Groups.Noon.:main].DiplomacyText-Ans-1-Yes;Да, мы согласны на прекращение огня.
[Groups.Noon.:main].DiplomacyText-Ans-2-No;Мы не уверены, что нам сейчас это нужно.
[Groups.Noon.:main].DiplomacyText-Ans-2-Yes;Да, мы согласны на сотрудничество.
[Groups.Noon.:main].DiplomacyText-RequestMoney-Ans-No;Увы, но сейчас мы не в состоянии помочь такой суммой.
[Groups.Noon.:main].DiplomacyText-RequestMoney-Ans-Yes;Ладно, мы перечислим вам эту сумму.
[Groups.Noon.:main].DiplomacyText-Question-Neutral-No;Очень жаль, что Вы отказались!
[Groups.Noon.:main].DiplomacyText-Question-Neutral-Yes;Хорошо! Мы рады, что Вы согласны!
[Groups.Noon.:main].DiplomacyText-Question-Alliance-No;Очень жаль, что Вы отказались!
[Groups.Noon.:main].DiplomacyText-Question-Alliance-Yes;Хорошо! Мы рады, что Вы согласны!
[Groups.Noon.:main].Text-End-Step-Victory;Вы выжили! Победа!
[Groups.Noon.:main].Text-End-EventFlag-Victory;Победа по ивент флагу!
[Groups.Noon.:main].Text-End-Standart-Lose;Группировка была полностью уничтожена, теперь Зону буду делить другие группировки. Поражение!
[Groups.Noon.:main].Text-End-Step-Lose;Время истекло, Вы не смогли добиться контроля над Зоной. Поражение!
[Groups.Noon.:main].Text-End-EventFlag-Lose;Поражение по ивент флагу!
[Groups.Noon.Anarchy].Text-End-Standart-Victory;"Победа! Группировка Бродяги надежно контролирует Зону. На место сектанства пришла новая идеология. Но всё чаще и чаще высказываются иные мнения. Возникают споры. Появляются разногласия. Некоторые предполагают, что это может привести к распаду группировки, которую недавно назвали ""Зелённый Полдень""..."
[Groups.Noon.AntiZone].Text-End-Standart-Victory;"Победа! Группировка Бродяги надежно контролирует Зону. На место сектанства пришла новая идеология. Но всё чаще и чаще высказываются иные мнения. Возникают споры. Появляются разногласия. Некоторые предполагают, что это может привести к распаду группировки, которую недавно назвали ""Красный Полдень""..."
[Groups.Noon.Control].Text-End-Standart-Victory;"Победа! Группировка Бродяги надежно контролирует Зону. На место сектанства пришла новая идеология. Но всё чаще и чаще высказываются иные мнения. Возникают споры. Появляются разногласия. Некоторые предполагают, что это может привести к распаду группировки, которую недавно назвали ""Тёмный Полдень""..."
[Groups.Noon.Crime].Text-End-Standart-Victory;"Победа! Группировка Бродяги надежно контролирует Зону. На место сектанства пришла новая идеология. Но всё чаще и чаще высказываются иные мнения. Возникают споры. Появляются разногласия. Некоторые предполагают, что это может привести к распаду группировки, которую недавно назвали ""Черный Полдень""..."
[Groups.Noon.Exploring].Text-End-Standart-Victory;"Победа! Группировка Бродяги надежно контролирует Зону. На место сектанства пришла новая идеология. Но всё чаще и чаще высказываются иные мнения. Возникают споры. Появляются разногласия. Некоторые предполагают, что это может привести к распаду группировки, которую недавно назвали ""Синий Полдень""..."
[Groups.Noon.Growth].Text-End-Standart-Victory;"Победа! Группировка Бродяги надежно контролирует Зону. На место сектанства пришла новая идеология. Но всё чаще и чаще высказываются иные мнения. Возникают споры. Появляются разногласия. Некоторые предполагают, что это может привести к распаду группировки, которую недавно назвали ""Полнолуние""..."
[Groups.Noon.Mercenary].Text-End-Standart-Victory;"Победа! Группировка Бродяги надежно контролирует Зону. На место сектанства пришла новая идеология. Но всё чаще и чаще высказываются иные мнения. Возникают споры. Появляются разногласия. Некоторые предполагают, что это может привести к распаду группировки, которую недавно назвали ""Синяя Полночь""..."
[Groups.Noon.Sectarianism].Text-End-Standart-Victory;"Победа! Группировка Бродяги надежно контролирует Зону. На место сектанства пришла новая идеология. Но всё чаще и чаще высказываются иные мнения. Возникают споры. Появляются разногласия. Некоторые предполагают, что это может привести к распаду группировки, которую недавно назвали ""Полночь""..."
[Groups.Noon.Stability].Text-End-Standart-Victory;"Победа! Группировка Бродяги надежно контролирует Зону. На место сектанства пришла новая идеология. Но всё чаще и чаще высказываются иные мнения. Возникают споры. Появляются разногласия. Некоторые предполагают, что это может привести к распаду группировки, которую недавно назвали ""Чистый Полдень""..."
[Groups.Noon.Stalkers].Text-End-Standart-Victory;"Победа! Группировка Бродяги надежно контролирует Зону. На место сектанства пришла новая идеология. Но всё чаще и чаще высказываются иные мнения. Возникают споры. Появляются разногласия. Некоторые предполагают, что это может привести к распаду группировки, которую недавно назвали ""Полдень""..."
[Groups.Noon.Unknow].Text-End-Standart-Victory;"Победа! Группировка Бродяги надежно контролирует Зону. На место сектанства пришла новая идеология. Но всё чаще и чаще высказываются иные мнения. Возникают споры. Появляются разногласия. Некоторые предполагают, что это может привести к распаду группировки, которую недавно назвали ""Туманный Полдень""..."
[Groups.Noon.Zombie].Text-End-Standart-Victory;"Победа! Группировка Бродяги надежно контролирует Зону. Вместо одной каши в голове у бойцов теперь иная. Почему так в итоге получилось... Ни кто не знает. Группировка так и не выбрала себе название сама, но другие ее прозвали ""Серый Полдень"" из-за мутных глаз бойцов группировки."
[Groups.scientists.:main].Spy1-Name;Новичок
[Groups.scientists.:main].Spy2-Name;Опытный
[Groups.scientists.:main].Spy3-Name;Ветеран
[Groups.scientists.:main].Spy4-Name;Мастер
[Groups.scientists.:main].Name;Ученые
[Groups.scientists.:main].Description;Ученые ? основная задача это изучение Зоны, а не борьба с ее проявлениями в виде криминала и мутантов. Имеют базу на локации Окрестности Юпитера. Абсолютно не приспособлены для ведения боевых действий, однако, имеют со старта хорошие шансы на поиски артефактов.
[Groups.scientists.:main].DiplomacyText-Question-War;Вы глупцы! Только мешаете нам. Пора преподать вам урок.
[Groups.scientists.:main].DiplomacyText-Question-Neutral;Здравствуйте. Мы хотим предложить вам мир. Вы согласны или нет?
[Groups.scientists.:main].DiplomacyText-Question-Alliance;Приветствую. Мы хотим стать вашими партнёрами, или, как еще говорят союзниками ради блага науки. Вы согласны или как?
[Groups.scientists.:main].DiplomacyText-Question-BreakAlliance;Простите, конечно, но мы больше не заинтересованы в сотрудничестве.
[Groups.scientists.:main].DiplomacyText-RequestMoney-Ask;Приветствую Вас! У нас тут маленькая заминочка вышла с финансированием наших эксперементов. Не могли бы вы нам перечислить, как бы, на благо науки, сумму в таком вот размере:
[Groups.scientists.:main].DiplomacyText-Ans-0-Down;Тогда защищайтесь!
[Groups.scientists.:main].DiplomacyText-Ans-1-Down;Очень плохо, но ничего не поделать...
[Groups.scientists.:main].DiplomacyText-Ans-1-No;Мы на такое не согласны.
[Groups.scientists.:main].DiplomacyText-Ans-1-Yes;Хорошо, мы согласны!
[Groups.scientists.:main].DiplomacyText-Ans-2-No;Нет, мы думаем, что еще не время...
[Groups.scientists.:main].DiplomacyText-Ans-2-Yes;Договорились.
[Groups.scientists.:main].DiplomacyText-RequestMoney-Ans-No;К сожалению, помочь мы не сможем, так как сейчас сами находимся в непростой финансовой ситуации из-за сокращения финансирования и маленького числа полученных грантов.
[Groups.scientists.:main].DiplomacyText-RequestMoney-Ans-Yes;Приветствую! Да, мы осуществили денежный перевод на указанную сумму.
[Groups.scientists.:main].DiplomacyText-Question-Neutral-No;Это крайне не дальновидно с вашей стороны.
[Groups.scientists.:main].DiplomacyText-Question-Neutral-Yes;Отлично! Хорошо, что Вы согласились.
[Groups.scientists.:main].DiplomacyText-Question-Alliance-No;Отказались? А мы то на Вас рассчитывали...
[Groups.scientists.:main].DiplomacyText-Question-Alliance-Yes;Отлично, мой друг! Мы рады, что Вы согласились.
[Groups.scientists.:main].Text-End-Step-Victory;Вы выжили! Победа!
[Groups.scientists.:main].Text-End-EventFlag-Victory;Победа по ивент флагу!
[Groups.scientists.:main].Text-End-Standart-Lose;Группировка была полностью уничтожена, теперь Зону буду делить другие группировки. Поражение!
[Groups.scientists.:main].Text-End-Step-Lose;Время истекло, Вы не смогли добиться контроля над Зоной. Вы уволены. Поражение!
[Groups.scientists.:main].Text-End-EventFlag-Lose;Поражение по ивент флагу!
[Groups.scientists.Anarchy].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Казалось теперь это навсегда останется тайной... Но в СМИ стали постоянно происходить утечки. Некоторые из них несли катастрофический характер. Под давлением общественности начались расследования с открытыми слушаниями. Это точно приведет к тому, что всё тайное когда-то станет явным?
[Groups.scientists.AntiZone].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.scientists.Control].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.scientists.Crime].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону с помощью группировки. Из-за отсутствия должной субординации начали процветать воровство и разгильдяйство. На исследования почему-то не хватало то амуниции, то из-за не годности, то из-за отсутствия нужного на складах? Ученые занимались не изучением артефактов и мутантов, а их тайной продажей за рубеж. Неизвестно к чему приведет такое отношение к Зоне, но вряд ли к чему-то хорошему?
[Groups.scientists.Exploring].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.scientists.Exploring].Text-End-Standart-Lose;Зона это опасное место. После уничтожения группы ученных, правительство решило, что больше не будет рисковать гражданскими. Вы уволены! Поражение!
[Groups.scientists.Growth].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.scientists.Growth].Text-End-Standart-Lose;Зона это опасное место. После уничтожения группы ученных, правительство решило, что больше не будет рисковать гражданскими. Вы уволены! Поражение!
[Groups.scientists.Mercenary].Text-End-Standart-Victory;Победа! Правительственные войска под руководством гражданских лиц смогли взять под контроль всю территорию отчуждения и теперь стремительно наводят порядок. Но среди ученых царила погоня за деньгами. Некоторые стали промышлять подозрительными контрактами от частных фирм. Исследования или деньги? Этим вопросом задавались все без исключений?
[Groups.scientists.Sectarianism].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону, но командиры на местах всё меньше соблюдали субординацию. Ротация не помогала. СБУ докладывало о неком элементе сектантства среди командиров, но подробнее расследовать не получалось. Командиры умело заметали следы. На столько, что даже О-Сознание так и не было найдено, о котором говорилось в найденных документах?
[Groups.scientists.Stability].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.scientists.Stalkers].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.scientists.Unknow].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.scientists.Unknow].Text-End-Standart-Lose;Зона это опасное место. После уничтожения группы ученных, правительство решило, что больше не будет рисковать гражданскими. Вы уволены! Поражение!
[Groups.scientists.Zombie].Text-End-Standart-Victory;Победа! Теперь О-Сознание в безопасности. Вскоре пси-излучение покрыло всю Зону благодаря увеличению числа излучателей. Даже Кордон стал опасен. Правительство хоть и не выпускало мутантов из Зоны, но больше не пыталось вернуть ее...
[Groups.soldiers.:main].Spy1-Name;Новичок
[Groups.soldiers.:main].Spy2-Name;Опытный
[Groups.soldiers.:main].Spy3-Name;Ветеран
[Groups.soldiers.:main].Spy4-Name;Мастер
[Groups.soldiers.:main].Name;Военные
[Groups.soldiers.:main].Description;Военные ? государственные силы на территории Зоны. Считают своими врагами всё живое внутри периметра кроме Ученых. Присутствуют только в Припяти и имеют под контролем одну территорию.
[Groups.soldiers.:main].DiplomacyText-Question-War;Ваше нахождение в Зоне теперь считается незаконным. Попадетёсь - расстрел на месте!
[Groups.soldiers.:main].DiplomacyText-Question-Neutral;Командование считает, что нам нужно снизить оперативную активность. Как насчет перемирия?
[Groups.soldiers.:main].DiplomacyText-Question-Alliance;Командование считает, что нам нужен союзник в Зоне для проведения операций. Вы согласны?
[Groups.soldiers.:main].DiplomacyText-Question-BreakAlliance;Мы больше не будем сотрудничать!
[Groups.soldiers.:main].DiplomacyText-RequestMoney-Ask;Правительственным силам требуется финансовое содействие на новый особняк генерал.. Кхм. На... На выполнение особых задач вот в таком размере. Поможите?
[Groups.soldiers.:main].DiplomacyText-Ans-0-Down;Да мы тебя в порошок сотрём!
[Groups.soldiers.:main].DiplomacyText-Ans-1-Down;Это еще как понимать?
[Groups.soldiers.:main].DiplomacyText-Ans-1-No;Нет, мы не можем закрыть глаза на ваше присутствие в Зоне.
